wall_time,ros_time_sec,run_id,elapsed_sec,event_type,source,label,data
2026-06-19_14-04-52-919208,1781870692.919300,20260619_140351,61.192,command,trolley_command,drive_under,drive_under
2026-06-19_14-04-52-921569,1781870692.921638,20260619_140351,61.194,dropzone_status,dropzone,status,drive_under_active via drive_straight_under. Waiting for drive_straight_under_done.
2026-06-19_14-04-52-927796,1781870692.927865,20260619_140351,61.201,physical_status,physical_alignment,status,drive_straight_under_started
2026-06-19_14-05-02-372652,1781870702.372744,20260619_140351,70.645,physical_status,physical_alignment,under_trolley,drive_straight_under_done
2026-06-19_14-05-02-375377,1781870702.375432,20260619_140351,70.648,dropzone_status,dropzone,under_trolley,"under_trolley. Inspect position, then approve final ArUco alignment with: ros2 topic pub --once /trolley_command std_msgs/msg/String ""{data: 'fine_align'}"""
2026-06-19_14-05-07-239467,1781870707.239555,20260619_140351,75.512,command,trolley_command,fine_align,fine_align
2026-06-19_14-05-07-246040,1781870707.246119,20260619_140351,75.519,dropzone_status,dropzone,status,fine_aligning via fine_align_under. Waiting for fine_align_under_done.
2026-06-19_14-05-07-246742,1781870707.246776,20260619_140351,75.519,physical_status,physical_alignment,status,front_rear_camera_switch_started
2026-06-19_14-05-08-775016,1781870708.775095,20260619_140351,77.048,physical_status,physical_alignment,status,fine_align_under_started
2026-06-19_14-05-14-670519,1781870714.670604,20260619_140351,82.943,physical_status,physical_alignment,fine_align_complete,"fine_align_under_done | final ids=[3, 12] center_x=+0.1389 center_y=+0.0134 yaw=+163.55deg orientation=flipped_180 error_x=+0.0019 error_y=+0.0096 yaw_error=-1.45deg target_x=+0.1370 target_y=+0.0038 tolerance_x=0.0040 tolerance_y=0.0100 tolerance_yaw=3.00deg"
2026-06-19_14-05-14-673508,1781870714.673576,20260619_140351,82.946,dropzone_status,dropzone,fine_align_complete,"fine_align_complete: fine_align_under_done | final ids=[3, 12] center_x=+0.1389 center_y=+0.0134 yaw=+163.55deg orientation=flipped_180 error_x=+0.0019 error_y=+0.0096 yaw_error=-1.45deg target_x=+0.1370 target_y=+0.0038 tolerance_x=0.0040 tolerance_y=0.0100 tolerance_yaw=3.00deg. Remembered laundry_trolley; approve delivery with ros2 topic pub --once /trolley_command std_msgs/msg/String ""{data: 'deliver_trolley'}"""
2026-06-19_14-05-47-471383,1781870747.471467,20260619_140351,115.744,manual_mark,operator,docking sucessfull,
2026-06-19_14-06-03-696123,1781870763.696234,20260619_140351,131.969,command,trolley_command,deliver_trolley,deliver_trolley
